2024-11-25 04:58:01,186 - INFO - Initialized DanGPT Pipeline.
2024-11-25 04:58:01,187 - INFO - Calculated temperatures: [1.0, 0.9375, 0.875, 0.8125, 0.75, 0.6875, 0.625, 0.5625, 0.5]
2024-11-25 04:58:01,187 - INFO - Pipeline execution started.
2024-11-25 04:58:01,187 - INFO - Generating thought 1 on GPU 2 with temperature 1.0
2024-11-25 04:58:01,187 - INFO - Starting GPU monitor (threshold: 75°C, interval: 2s)
2024-11-25 04:58:01,271 - INFO - Current GPU Temperatures: GPU0: 47.0°C, GPU1: 45.0°C, GPU2: 44.0°C, GPU3: 58.0°C
2024-11-25 04:58:36,617 - INFO - Current GPU Temperatures: GPU0: 51.0°C, GPU1: 48.0°C, GPU2: 46.0°C, GPU3: 58.0°C
2024-11-25 04:58:38,697 - INFO - Current GPU Temperatures: GPU0: 50.0°C, GPU1: 48.0°C, GPU2: 48.0°C, GPU3: 59.0°C
2024-11-25 04:58:40,777 - INFO - Current GPU Temperatures: GPU0: 50.0°C, GPU1: 49.0°C, GPU2: 48.0°C, GPU3: 58.0°C
2024-11-25 04:58:42,862 - INFO - Current GPU Temperatures: GPU0: 51.0°C, GPU1: 48.0°C, GPU2: 49.0°C, GPU3: 58.0°C
2024-11-25 04:58:44,942 - INFO - Current GPU Temperatures: GPU0: 52.0°C, GPU1: 48.0°C, GPU2: 47.0°C, GPU3: 58.0°C
2024-11-25 04:58:47,021 - INFO - Current GPU Temperatures: GPU0: 51.0°C, GPU1: 49.0°C, GPU2: 48.0°C, GPU3: 58.0°C
2024-11-25 04:58:49,099 - INFO - Current GPU Temperatures: GPU0: 51.0°C, GPU1: 48.0°C, GPU2: 49.0°C, GPU3: 58.0°C
2024-11-25 04:58:51,181 - INFO - Current GPU Temperatures: GPU0: 51.0°C, GPU1: 49.0°C, GPU2: 49.0°C, GPU3: 58.0°C
2024-11-25 04:58:53,261 - INFO - Current GPU Temperatures: GPU0: 53.0°C, GPU1: 49.0°C, GPU2: 50.0°C, GPU3: 58.0°C
2024-11-25 04:58:55,335 - INFO - Current GPU Temperatures: GPU0: 51.0°C, GPU1: 49.0°C, GPU2: 49.0°C, GPU3: 58.0°C
2024-11-25 04:58:57,400 - INFO - Current GPU Temperatures: GPU0: 53.0°C, GPU1: 49.0°C, GPU2: 49.0°C, GPU3: 58.0°C
2024-11-25 04:58:59,462 - INFO - Current GPU Temperatures: GPU0: 52.0°C, GPU1: 50.0°C, GPU2: 49.0°C, GPU3: 59.0°C
2024-11-25 04:59:01,541 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 49.0°C, GPU2: 50.0°C, GPU3: 58.0°C
2024-11-25 04:59:03,623 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 49.0°C, GPU2: 49.0°C, GPU3: 59.0°C
2024-11-25 04:59:05,701 - INFO - Current GPU Temperatures: GPU0: 52.0°C, GPU1: 51.0°C, GPU2: 50.0°C, GPU3: 59.0°C
2024-11-25 04:59:07,762 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 49.0°C, GPU2: 50.0°C, GPU3: 59.0°C
2024-11-25 04:59:09,842 - INFO - Current GPU Temperatures: GPU0: 53.0°C, GPU1: 50.0°C, GPU2: 49.0°C, GPU3: 59.0°C
2024-11-25 04:59:11,923 - INFO - Current GPU Temperatures: GPU0: 53.0°C, GPU1: 50.0°C, GPU2: 50.0°C, GPU3: 59.0°C
2024-11-25 04:59:14,005 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 50.0°C, GPU2: 51.0°C, GPU3: 59.0°C
2024-11-25 04:59:16,066 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 51.0°C, GPU2: 50.0°C, GPU3: 59.0°C
2024-11-25 04:59:18,122 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 50.0°C, GPU2: 50.0°C, GPU3: 59.0°C
2024-11-25 04:59:20,182 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 51.0°C, GPU2: 50.0°C, GPU3: 59.0°C
2024-11-25 04:59:22,262 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 50.0°C, GPU2: 50.0°C, GPU3: 59.0°C
2024-11-25 04:59:24,341 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 50.0°C, GPU2: 51.0°C, GPU3: 59.0°C
2024-11-25 04:59:26,421 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 50.0°C, GPU2: 52.0°C, GPU3: 59.0°C
2024-11-25 04:59:28,482 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 51.0°C, GPU2: 51.0°C, GPU3: 59.0°C
2024-11-25 04:59:30,562 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 50.0°C, GPU2: 52.0°C, GPU3: 59.0°C
2024-11-25 04:59:32,619 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 50.0°C, GPU2: 51.0°C, GPU3: 59.0°C
2024-11-25 04:59:34,682 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 51.0°C, GPU2: 52.0°C, GPU3: 59.0°C
2024-11-25 04:59:36,762 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 52.0°C, GPU2: 51.0°C, GPU3: 59.0°C
2024-11-25 04:59:38,822 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 52.0°C, GPU2: 51.0°C, GPU3: 59.0°C
2024-11-25 04:59:40,895 - INFO - Current GPU Temperatures: GPU0: 54.0°C, GPU1: 52.0°C, GPU2: 52.0°C, GPU3: 59.0°C
2024-11-25 04:59:42,970 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 51.0°C, GPU2: 52.0°C, GPU3: 59.0°C
2024-11-25 04:59:44,114 - INFO - Thought 1 saved to /home/daniel/Desktop/DanGPT/Thoughts/thought_1.txt
2024-11-25 04:59:44,114 - INFO - Generating thought 2 on GPU 2 with temperature 0.9375
2024-11-25 04:59:45,048 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 51.0°C, GPU2: 51.0°C, GPU3: 59.0°C
2024-11-25 04:59:47,105 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 51.0°C, GPU2: 52.0°C, GPU3: 59.0°C
2024-11-25 04:59:49,185 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 52.0°C, GPU2: 52.0°C, GPU3: 59.0°C
2024-11-25 04:59:51,258 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 52.0°C, GPU2: 51.0°C, GPU3: 59.0°C
2024-11-25 04:59:53,319 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 51.0°C, GPU2: 51.0°C, GPU3: 59.0°C
2024-11-25 04:59:55,404 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 51.0°C, GPU2: 51.0°C, GPU3: 59.0°C
2024-11-25 04:59:57,474 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 52.0°C, GPU2: 51.0°C, GPU3: 59.0°C
2024-11-25 04:59:59,535 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 52.0°C, GPU2: 52.0°C, GPU3: 60.0°C
2024-11-25 05:00:01,599 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 52.0°C, GPU2: 52.0°C, GPU3: 59.0°C
2024-11-25 05:00:03,682 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 52.0°C, GPU2: 52.0°C, GPU3: 59.0°C
2024-11-25 05:00:05,762 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 51.0°C, GPU2: 51.0°C, GPU3: 60.0°C
2024-11-25 05:00:07,841 - INFO - Current GPU Temperatures: GPU0: 55.0°C, GPU1: 53.0°C, GPU2: 52.0°C, GPU3: 59.0°C
2024-11-25 05:00:09,902 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 51.0°C, GPU2: 52.0°C, GPU3: 60.0°C
2024-11-25 05:00:11,962 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 52.0°C, GPU2: 52.0°C, GPU3: 61.0°C
2024-11-25 05:00:14,030 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 52.0°C, GPU2: 53.0°C, GPU3: 60.0°C
2024-11-25 05:00:16,109 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 52.0°C, GPU2: 52.0°C, GPU3: 60.0°C
2024-11-25 05:00:18,183 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 52.0°C, GPU2: 53.0°C, GPU3: 60.0°C
2024-11-25 05:00:20,265 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 52.0°C, GPU2: 52.0°C, GPU3: 60.0°C
2024-11-25 05:00:22,330 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 52.0°C, GPU2: 52.0°C, GPU3: 60.0°C
2024-11-25 05:00:24,390 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 52.0°C, GPU2: 52.0°C, GPU3: 60.0°C
2024-11-25 05:00:26,470 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 52.0°C, GPU2: 53.0°C, GPU3: 60.0°C
2024-11-25 05:00:28,530 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 53.0°C, GPU2: 53.0°C, GPU3: 60.0°C
2024-11-25 05:00:30,610 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 53.0°C, GPU2: 52.0°C, GPU3: 60.0°C
2024-11-25 05:00:32,670 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 52.0°C, GPU2: 52.0°C, GPU3: 60.0°C
2024-11-25 05:00:34,731 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 52.0°C, GPU2: 53.0°C, GPU3: 60.0°C
2024-11-25 05:00:36,796 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 53.0°C, GPU2: 52.0°C, GPU3: 60.0°C
2024-11-25 05:00:38,861 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 53.0°C, GPU2: 52.0°C, GPU3: 60.0°C
2024-11-25 05:00:40,943 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 52.0°C, GPU2: 54.0°C, GPU3: 60.0°C
2024-11-25 05:00:43,006 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 52.0°C, GPU2: 53.0°C, GPU3: 60.0°C
2024-11-25 05:00:45,066 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 52.0°C, GPU2: 54.0°C, GPU3: 60.0°C
2024-11-25 05:00:47,126 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 53.0°C, GPU2: 53.0°C, GPU3: 60.0°C
2024-11-25 05:00:49,186 - INFO - Current GPU Temperatures: GPU0: 56.0°C, GPU1: 52.0°C, GPU2: 53.0°C, GPU3: 60.0°C
2024-11-25 05:00:51,265 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 53.0°C, GPU2: 53.0°C, GPU3: 60.0°C
2024-11-25 05:00:53,345 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 53.0°C, GPU2: 52.0°C, GPU3: 60.0°C
2024-11-25 05:00:55,426 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 52.0°C, GPU2: 54.0°C, GPU3: 60.0°C
2024-11-25 05:00:57,486 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 52.0°C, GPU2: 53.0°C, GPU3: 61.0°C
2024-11-25 05:00:59,566 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 52.0°C, GPU2: 53.0°C, GPU3: 60.0°C
2024-11-25 05:01:01,644 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 53.0°C, GPU2: 53.0°C, GPU3: 61.0°C
2024-11-25 05:01:03,724 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 53.0°C, GPU2: 53.0°C, GPU3: 61.0°C
2024-11-25 05:01:05,790 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 53.0°C, GPU2: 53.0°C, GPU3: 60.0°C
2024-11-25 05:01:07,870 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 53.0°C, GPU2: 53.0°C, GPU3: 61.0°C
2024-11-25 05:01:09,950 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:01:12,030 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 53.0°C, GPU2: 54.0°C, GPU3: 60.0°C
2024-11-25 05:01:14,090 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 54.0°C, GPU2: 53.0°C, GPU3: 61.0°C
2024-11-25 05:01:16,169 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 53.0°C, GPU2: 53.0°C, GPU3: 61.0°C
2024-11-25 05:01:18,249 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 53.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:01:20,329 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:01:22,409 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 53.0°C, GPU2: 53.0°C, GPU3: 61.0°C
2024-11-25 05:01:24,490 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 53.0°C, GPU2: 53.0°C, GPU3: 61.0°C
2024-11-25 05:01:26,550 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 53.0°C, GPU2: 53.0°C, GPU3: 61.0°C
2024-11-25 05:01:28,630 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 53.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:01:30,691 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:01:32,774 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:01:34,856 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 53.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:01:36,919 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 53.0°C, GPU3: 61.0°C
2024-11-25 05:01:38,982 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:01:41,043 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:01:43,105 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:01:45,169 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 53.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:01:47,223 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 53.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:01:49,299 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:01:51,367 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:01:53,429 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 53.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:01:55,491 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 53.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:01:57,577 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:01:59,634 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 53.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:02:01,713 - INFO - Current GPU Temperatures: GPU0: 57.0°C, GPU1: 55.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:02:03,798 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:02:05,858 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:02:07,919 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:02:10,002 - INFO - Current GPU Temperatures: GPU0: 61.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:02:12,061 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:02:14,122 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 61.0°C
2024-11-25 05:02:16,201 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:02:18,281 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 53.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:02:20,342 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:02:22,402 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:02:24,463 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:02:26,526 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:02:28,589 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 54.0°C, GPU2: 56.0°C, GPU3: 61.0°C
2024-11-25 05:02:30,668 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 62.0°C
2024-11-25 05:02:32,730 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 54.0°C, GPU2: 56.0°C, GPU3: 61.0°C
2024-11-25 05:02:34,809 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:02:36,889 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 55.0°C, GPU2: 56.0°C, GPU3: 61.0°C
2024-11-25 05:02:38,949 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:02:41,029 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:02:43,091 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:02:45,173 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 57.0°C, GPU3: 61.0°C
2024-11-25 05:02:47,234 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:02:49,313 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 55.0°C, GPU2: 56.0°C, GPU3: 62.0°C
2024-11-25 05:02:51,373 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 56.0°C, GPU3: 62.0°C
2024-11-25 05:02:53,446 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 55.0°C, GPU2: 57.0°C, GPU3: 61.0°C
2024-11-25 05:02:54,002 - INFO - Thought 2 saved to /home/daniel/Desktop/DanGPT/Thoughts/thought_2.txt
2024-11-25 05:02:54,002 - INFO - Generating thought 3 on GPU 2 with temperature 0.875
2024-11-25 05:02:55,524 - INFO - Current GPU Temperatures: GPU0: 61.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:02:57,607 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 55.0°C, GPU2: 56.0°C, GPU3: 62.0°C
2024-11-25 05:02:59,680 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:01,738 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:03:03,817 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:03:05,896 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:07,983 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 61.0°C
2024-11-25 05:03:10,065 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 56.0°C, GPU3: 61.0°C
2024-11-25 05:03:12,144 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:14,225 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 56.0°C, GPU3: 62.0°C
2024-11-25 05:03:16,286 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:18,364 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:20,445 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:22,527 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:24,591 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:26,654 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:28,739 - INFO - Current GPU Temperatures: GPU0: 58.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:30,801 - INFO - Current GPU Temperatures: GPU0: 61.0°C, GPU1: 55.0°C, GPU2: 54.0°C, GPU3: 62.0°C
2024-11-25 05:03:32,862 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 54.0°C, GPU2: 56.0°C, GPU3: 62.0°C
2024-11-25 05:03:34,942 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:37,002 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:39,067 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 54.0°C, GPU2: 54.0°C, GPU3: 62.0°C
2024-11-25 05:03:41,149 - INFO - Current GPU Temperatures: GPU0: 60.0°C, GPU1: 55.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:43,234 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 54.0°C, GPU2: 55.0°C, GPU3: 62.0°C
2024-11-25 05:03:45,313 - INFO - Current GPU Temperatures: GPU0: 59.0°C, GPU1: 55.0°C, GPU2: 56.0°C, GPU3: 62.0°C
